title,url,author,date,content,people,organizations,funding_mentions,hiring_signals,sectors
"With its latest acqui-hire, OpenAI is doubling down on personalized consumer AI",https://techcrunch.com/2025/10/03/with-its-latest-acqui-hire-openai-is-doubling-down-on-personalized-consumer-ai/,Dominic-Madori Davis,2025-10-03T15:52:14-07:00,"OpenAI has acquired Roi, an AI-powered personal finance app. In keeping with a recent trend in the AI industry, only the CEO is making the jump. Chief executive and co-founder Sujith Vishwajith announced the acquisition on Friday, and a source familiar with the matter told TechCrunch he is the only one of Roi’s four-person staff to join OpenAI. Terms of the deal were not disclosed. The company will wind down operations and end its service to customers on October 15. The Roi deal marks the latest in a string of acqui-hires from OpenAI this year, including Context.ai , Crossing Minds , and Alex . While it’s not clear whether any of Roi’s technology will transfer over to OpenAI or which unit Vishwajith will join, the acquisition clearly aligns with OpenAI’s bet on personalization and life management as the next layer of AI products. Roi brings a specialized team that has already tried to solve personalization in finance at scale — a challenge whose lessons can be applied more broadly. New York-based Roi was founded in 2022 and has raised $3.6 million in early-stage funding from investors like Balaji Srinivasan, Spark Capital, Gradient Ventures, and Spacecadet Ventures, according to PitchBook data. Its mission was to aggregate a user’s financial footprint, including stocks, crypto, DeFi, real-estate, and NFTs, into one app that can track funds, provide insights, and help people make trades. “We started Roi 3 years ago to make investing accessible to everyone by building the most personalized financial experience,” Vishwajith wrote in a post on X . “Along the way we realized personalization isn’t just the future of finance. It’s the future of software.” Beyond tracking trades, Roi gave users access to a financially savvy AI companion that responded in ways that made sense for them. When signing up, users could personalize Roi by providing information like what they do for a living and how they wanted Roi to respond to them. In one telling example that Roi posted on X , the sample user wrote: “Talk to me like I’m a Gen-Z kid with brain rot. Use as little words as possible and roast me as much as you want I don’t mind.” In response to a query about the status of the user’s portfolio, Roi replied: “Suje, you got cooked lil bro. Cause of the tariff announcements, you took an L today of $32,459.12…Based on your risk preference this might be an opportunity to buy the dip.” The exchange highlights the philosophy behind Roi and its co-founder — that software shouldn’t just provide generic answers but should adapt, learn, and communicate in ways that feel personal, human, and most importantly, keep you engaged. As the Roi team wrote in a blog post: “The products we use every day won’t remain static, predetermined experiences. They’ll become adaptive, deeply personal companions that understand us, learn from us, and evolve with us.” That vision dovetails with OpenAI’s existing consumer efforts, including Pulse , which generates personalized news and content reports for users as they sleep; the Sora app, a TikTok competitor filled with AI-generated content, including personal cameos from users; and Instant Checkout , a feature that lets users shop and make purchases directly in ChatGPT. The deal also comes as OpenAI beefs up its consumer applications team, led by former Instacart CEO Fidji Simo . It’s a further signal that OpenAI isn’t just trying to be an API provider, but wants to build its own end-user apps. Roi’s talent and tech could slot right into these apps and help make them more adaptive. Vishwajith, alongside his co-founder Chip Davis, used to work at Airbnb, where he developed a knack for optimizing user behavior to drive revenue. By his account , a simple change of 25 lines of code led to $10+ million in additional cash. Being able to bring in meaningful revenue via consumer apps is more important than ever to OpenAI as it continues to burn through billions on data centers and infrastructure to power its models.  Topics © 2025 TechCrunch Media LLC.","Sujith Vishwajith, Pulse, Vishwajith, Alex, Chip Davis, Instant Checkout, OpenAI, Sora, Balaji Srinivasan, Crossing Minds","Airbnb, Spacecadet Ventures, Instacart, TikTok, Gradient Ventures, Suje, API, OpenAI’s, DeFi, Context.ai, Fidji Simo, OpenAI, TechCrunch, Spark Capital","$3.6 m, $32, $10",,"AI, CRYPTO"
Sources: Naveen Rao’s new AI hardware startup targets $5B valuation with backing from a16z,https://techcrunch.com/2025/10/03/sources-naveen-raos-new-ai-hardware-startup-targets-5b-valuation-with-backing-from-a16z/,Dominic-Madori Davis,2025-10-03T14:56:58-07:00,"Naveen Rao, who was formerly the head of artificial intelligence at Databricks, is in talks to raise $1 billion at a $5 billion valuation for a new startup called Unconventional, Inc., that’s building a new type of computer, according to four people familiar with discussions. Andreessen Horowitz has agreed to lead the investment, and Lightspeed and Lux Capital are also participating in the deal, two of the sources said, although none of those VC firms responded to our request for comment. Databricks is also said to be investing in Rao’s new company, Bloomberg reported last month. Rao has already raised hundreds of millions and plans to begin building the startup without waiting for the full $1 billion round to close, our sources said. He plans to raise the rest of the capital in installments, a funding approach commonly referred to as a “tranched” round. Rao declined to comment, although he did publicly acknowledge the new startup on X last week, confirming its name and describing its hoped-for product as “rethinking the foundations of a computer to build a new substrate for intelligence that is as efficient as biology. Brain Scale Efficiency without the biological baggage!” Databricks acquired Rao’s previous startup, MosaicML in 2023 , for $1.3 billion. Founded by Rao in 2020 with a focus on training and deploying large AI models, MosaicML raised $33.7 million from investors, including Lux Capital, DCVC, Playground Global, and Samsung Next, according to PitchBook. Prior to MosaicML, Rao co-founded the machine learning platform Nervana Systems , which Intel Corp. acquired in 2016 for reportedly more than $400 million. Rao, who spent over two years as VP of AI at Databricks (now valued at $100 billion and generating $4 billion in ARR), left the company last month to focus on his new startup, according to his LinkedIn profile and earlier reporting by Bloomberg. Our sources say Rao’s vision will essentially compete with Nvidia by designing a novel AI machine that includes both custom silicon chips and server infrastructure.  Topics © 2025 TechCrunch Media LLC.","DCVC, MosaicML, Andreessen Horowitz, Naveen Rao, Lightspeed, Rao’s, Playground Global, Rao, Samsung Next","Brain Scale Efficiency, LinkedIn, Bloomberg, Unconventional, Inc., ARR, AI, MosaicML, Nervana Systems, Lux Capital, PitchBook, Intel Corp., TechCrunch","$1 b, $5 b, $1 b, $1.3 b, $33.7 m, $400 m, $100 b, $4 b",,AI
Can you think like a YC partner? This game will help you find out,https://techcrunch.com/2025/10/03/can-you-think-like-a-yc-partner-this-game-will-help-you-find-out/,Dominic-Madori Davis,2025-10-03T11:36:53-07:00,"Welcome to YC Arena , which is not a top secret fight club for Y Combinator founders but rather a suite of games that give you a vague sense of what it’s like to be a partner at YC. Created by a student in Berlin, YC Arena’s YC Partner Simulator game shows you a publicly available pitch video from a company that applied to YC, along with the year of their application. You click “accept” or “reject,” and then find out if you made the same choice as YC. It’s a lot harder than it looks. YC is estimated to accept around 1% of applicants , and at a certain point, some luck is required to really capture a partner’s eye — maybe your pitch is the first that a partner watched after a very rejuvenating coffee break, or maybe your company is the last video on the list and everyone’s tired. “Many rejected founders went on to build incredibly successful companies afterwards,” reads a note at the start of the game. “Rejection means nothing — even the most successful founders got rejected multiple times.” YC Arena has other games that ask you to match a company name to its logo, or guess what year a company did YC based on its description (spoiler alert: There’s a lot more AI in recent years). But the YC Partner Simulator game is the most interesting since it makes us confront our own decision-making processes. As a tech journalist, I thought I would be pretty good at the YC Partner Simulator. I may not be an investor, but I know what it’s like to sift through an inbox full of startup pitches and choose which ones pique my curiosity — I’ve walked the floor of TechCrunch Disrupt’s Startup Battlefield 200 Expo with the task of identifying companies to interview and write about. But this game is hard. After all, we’re working within different parameters, since the newsworthiness of a company is not directly tied to its potential to turn a profit. (For example: As I write this, there’s an AI pet sitting in my lap that I’m planning to review. Would I put money on the bet that Casio will turn a profit off the investment it takes to create a glorified Furby that retails for $430 ? No. Do I expect that an article about my life with an AI pet will be interesting to readers? Yes.) If anything, the game shows just how subjective these processes can be. But after I read YC co-founder Paul Graham’s application guide , my guesses started to get more accurate. “You have to be exceptionally clear and concise,” Graham wrote. “Whatever you have to say, give it to us right in the first sentence, in the simplest possible terms.” (For the record, this advice also applies to emailing journalists.) I played the game again, but this time, I paid less attention to what the company was pitching and more attention to how quickly they could convey what their company does. Of course, I wouldn’t recommend this strategy for evaluating a startup in real life (hot take: you should care what a company does!), but for the purposes of the game, I ended up choosing a company’s fate more accurately. This probably isn’t a coincidence. When OpenAI founder and CEO Sam Altman was president of YC, he remarked in an interview that the incubator spent just 10 minutes reviewing each company’s application to make a decision. “It turns out that in 10 minutes, if the only question you’re trying to answer is, ‘Does this person have the potential to be the next Mark Zuckerberg?’ … You can answer that question in 10 minutes,” Altman said in 2016. “Not with 100 percent accuracy, obviously, but good enough that our business model works.”  Topics © 2025 TechCrunch Media LLC.","Graham, Sam Altman, Furby, Paul Graham, Mark Zuckerberg","Y Combinator, TechCrunch Disrupt’s Startup Battlefield 200, Altman, TechCrunch, YC Arena",$430 ,,AI
Can AI companies turn brainrot into revenue?,https://techcrunch.com/video/can-ai-companies-turn-brainrot-into-revenue/,Dominic-Madori Davis,2025-10-03T11:19:55-07:00,"The U.S. government shutdown that began this week is the first in seven years. While it might not feel immediately disruptive, for startups waiting on permits, visas, or regulatory approvals, even a few weeks can become an existential problem. On this episode of Equity , Kirsten Korosec, Anthony Ha, and Max Zeff talk through how uncertainty is affecting startups in ways people might not realize, plus the messy reality of AI companies still trying to figure out sustainable business models. Watch to hear more about: Equity is TechCrunch’s flagship podcast, produced by Theresa Loconsolo, and posts every Wednesday and Friday. Subscribe to us on Apple Podcasts , Overcast , Spotify and all the casts. You also can follow Equity on X and Threads , at @EquityPod. Topics © 2025 TechCrunch Media LLC.","Theresa Loconsolo, Max Zeff, Kirsten Korosec, Anthony Ha","TechCrunch, Equity, Apple Podcasts",,,AI
"Supabase nabs $5B valuation, four months after hitting $2B",https://techcrunch.com/2025/10/03/supabase-nabs-5b-valuation-four-months-after-hitting-2b/,Dominic-Madori Davis,2025-10-03T11:14:03-07:00,"It’s been a whirlwind year for the vibe-coding world’s database of choice: Supabase. On Friday, Supabase announced that it raised a fresh $100 million Series E at a $5 billion valuation, led by Accel and Peak XV. This is just four months after closing its $200 million Series D at a $2 billion valuation, led by Accel. And that Series D was just seven months after raising an $80 million Series C led by Sequoia spinoff Peak XV and David Sacks’ Craft Ventures at an undisclosed valuation. PitchBook estimated Supabase was valued at around $765 million in that deal, post-money. So that’s $380 million raised in a year and a more than 500% valuation step up, assuming PitchBook’s estimates of the Series C valuation are in the ballpark. Supabase has now raised a total of $500 million, it says. Open source database service Supabase was founded in 2020 by CEO Paul Copplestone and CTO Ant Wilson (pictured above), a few years before the LLM-powered vibe-coding craze spawned. It was originally a Y Combinator startup that offered developers a Postgres-based open source alternative to Google’s Firebase. Firebase is a database that was also designed to power AI apps. Supabase combines Postgres with other enterprise-grade open source tools for features like authentication, auto-generated APIs, file storage, and a vector toolkit (necessary for many AI apps). It simplified the difficult parts of setting up a database down to a few button clicks. Consequently, it became a popular back end for vibe-coding tools — which write apps with natural language prompts — like fast-growing Lovable and Bolt. It is increasingly used as the database of choice for Figma and other uber popular AI coding tools like Replit, Cursor , and Claude Code , it says. Interestingly, because Supabase is open source and supported by a community of developers — claiming 4 million developers as users — it is allowing community members to also buy stock as part of this Series E funding, the company said.  Topics © 2025 TechCrunch Media LLC.","Bolt, Peak XV, Supabase, Replit, Paul Copplestone, Claude Code, David Sacks","Figma, Supabase combines Postgres, Supabase, Postgres, PitchBook, Google’s Firebase, TechCrunch, LLM, CTO Ant Wilson, Sequoia","$100 m, $5 b, $200 m, $2 b, $80 m, $765 m, $380 m, $500 m",,AI
"AI slop, government stops, and startup uncertainty",https://techcrunch.com/podcast/ai-slop-government-stops-and-startup-uncertainty/,Dominic-Madori Davis,2025-10-03T08:58:50-07:00,"The U.S. government shutdown that began this week is the first in seven years. While it might not feel immediately disruptive, for startups waiting on permits, visas, or regulatory approvals, even a few weeks can become an existential problem. On this episode of Equity , Kirsten Korosec, Anthony Ha, and Max Zeff talk through how uncertainty is affecting startups in ways people might not realize, plus the messy reality of AI companies still trying to figure out sustainable business models. Listen to the full episode to hear about: Equity is TechCrunch’s flagship podcast, produced by Theresa Loconsolo, and posts every Wednesday and Friday. Subscribe to us on Apple Podcasts , Overcast , Spotify and all the casts. You also can follow Equity on X and Threads , at @EquityPod.  © 2025 TechCrunch Media LLC.","Theresa Loconsolo, Max Zeff, Kirsten Korosec, Anthony Ha","TechCrunch, Equity, Apple Podcasts",,,AI
"Space defense, gravity, and connectivity with Bridgit Mendler, Even Rogers, and Max Haot at TechCrunch Disrupt 2025",https://techcrunch.com/2025/10/03/space-is-open-for-business-with-even-rogers-and-max-haot-at-techcrunch-disrupt-2025/,Dominic-Madori Davis,2025-10-03T08:00:00-07:00,"The space economy isn’t just about rockets and satellites anymore — it’s about building resilient infrastructure, deploying autonomous systems, and creating entirely new models for how we operate and defend assets off-Earth. At TechCrunch Disrupt 2025 , taking place October 27–29 at San Francisco’s Moscone West, the Space Stage is where these seismic shifts in space innovation come to life. Save big this week by registering as a group. Save up to 20% on your ticket if you register with a group of 4-9 before today at 11:59 p.m. PT. Or, if you’re going solo, secure your pass to save up to $444 before doors open . This must-see panel brings together three of today’s most influential space tech leaders to map out what’s next for the orbital industry. Bridgit Mendler , co-founder and CEO of Northwood Space , returns to the Space Stage after her standing-room-only debut at Disrupt 2024 . Mendler is back to share how Northwood Space is scaling ground station networks to power the next generation of satellite connectivity. Known globally as a former Disney star, she’s now making headlines for her pivot to space tech entrepreneurship, focusing on building resilient, scalable communications infrastructure. Even Rogers , co-founder and CEO of True Anomaly , is a former Air Force officer and space systems strategist. Rogers helped shape the foundational doctrine of the U.S. Space Force as a DARPA Service Chiefs Fellow. Now he’s deploying cutting-edge space defense technologies to protect orbital assets and reimagine how the U.S. ensures freedom of action in space. Max Haot , multi-exit entrepreneur across aerospace, livestreaming, and connected devices; founder of Launcher (acquired by Vast); and CEO of Vast , is now leading Vast’s mission to build artificial gravity space stations. His track record of turning bold science fiction concepts into venture-backed reality makes him one of the most ambitious voices in commercial space. This panel will go beyond hype to tackle: With national security experts, commercial visionaries, and connectivity pioneers on one stage, this session offers a rare front-row seat to the strategies fueling the next wave of space growth . Learn more by visiting the Disrupt agenda . Disrupt 2025 brings together over 10,000 founders, investors, and operators to tackle the biggest opportunities in tech. The Space Stage is where the industry’s boldest ideas become operational realities — and where you’ll hear directly from the leaders making them happen. Don’t miss your chance to be in the room with Bridgit Mendler, Even Rogers, and Max Haot as they chart the course for the space economy’s next era. Bring your crew (4-9) to get a 20% discount before today at 11:59 pm. PT , or register for your ticket now to save up to $444. Topics © 2025 TechCrunch Media LLC.","Even Rogers, Max Haot, Mendler, Bridgit Mendler","True Anomaly, TechCrunch Disrupt 2025, Air Force, Northwood Space, Disney, Launcher, the U.S. Space Force, Disrupt, Vast, TechCrunch, the Space Stage, DARPA Service Chiefs Fellow","$444 b, $444",,AI
The clock is ticking: Savings of up to 20% on group passes end tonight for TechCrunch Disrupt 2025,https://techcrunch.com/2025/10/03/the-clock-is-ticking-savings-of-up-to-20-on-group-passes-end-today-for-techcrunch-disrupt-2025/,Dominic-Madori Davis,2025-10-03T07:00:00-07:00,"The Founder and Investor bundle sale for TechCrunch Disrupt 2025 is live — but only until tonight at 11:59 p.m. PT. This is your only chance this year to lock in group bundle savings on Founder Passes and an even bigger discount on group Investor Passes. After today, these deals are gone. Disrupt 2025 brings together over 10,000 founders, investors, and operators from around the world to tackle the toughest challenges and uncover the biggest opportunities in tech. TechCrunch Disrupt isn’t just a conference — it’s a launchpad for your startup. With a Founder Pass , you get: The Investor Pass is designed to give you premium access to the next wave of breakout startups: Don’t let anyone in your network miss the tech conference of the year. Disrupt 2025 is where deals are made, networks are built, and the next generation of tech leaders accelerates. Lock in your Founder Bundle → Lock in your Investor Bundle → Topics © 2025 TechCrunch Media LLC.",Investor Passes,"TechCrunch, TechCrunch Disrupt, Founder Passes",,,
New deep tech fund Wave Function Ventures raises $15 million,https://techcrunch.com/2025/10/03/new-deep-tech-fund-wave-function-ventures-raises-15-million/,Dominic-Madori Davis,2025-10-03T06:00:11-07:00,"When Jamie Gull graduated from Stanford University in 2007 with a master’s degree in aeronautics, there was one place he wanted to go next: the desert. The Mojave Desert, to be specific. A company called Scaled Composites had spent years developing experimental aircraft out on that arid land, and Gull wanted in. He could have tried to get a more traditional aerospace job, but Gull was worried he’d “work five years on a latch” — a common joke about those bigger, slow-moving companies. But at Scaled Composites? “I knew I would build something, and I would do it quickly, and I would be a college graduate who would own an actual outcome,” he said. Two years later, Gull jumped to SpaceX, where he helped make the Falcon 9 rocket reusable — a major milestone in that company’s history, and the foundation on which it has built an enormously valuable business. Now, Gull is gearing up for a new challenge: launching an early-stage deep tech fund called Wave Function Ventures . Just last week, he closed Wave Function’s first fund of $15.1 million, and he’s already off and running. Gull has made nine investments in startups that span industries like nuclear energy (Deep Fission), humanoid robotics (Persona AI), and, of course, aerospace (Airship Industries). He told TechCrunch he expects to do about 25 seed or pre-seed investments out of this fund. (Gull declined to name the anchor LP, and said the rest of the fund was filled by high-net-worth individuals, with support from other funds and “large family offices.”) Wave Function’s emergence comes at a time when deep tech funding is on the rise, buoyed in part by the increased attention on fields like aerospace and defense. It’s enough of a trend that earlier this year, a new Silicon Valley-based deep tech fund called Leitmotif broke cover with $300 million in capital from the Volkswagen Group , part of a bid to lift up hardware and manufacturing startups in the United States and Europe. It’s the kind of environment that seems ripe for someone with a background like Gull’s — and not just his past as an accomplished aerospace engineer. Near the end of his time at SpaceX in 2016, Gull started angel investing, making bets on companies like Boom Supersonic, K2 Space, and Varda. He also co-founded electric vertical takeoff and landing (eVTOL) startup Talyn Air as part of Y Combinator’s Winter 2020 batch, and became a venture partner at YC’s Pioneer Fund — a position he still holds. (Talyn was acquired in 2023 by another eVTOL company, Ampaire.) Gull wants to put all this varied experience — doing rapid prototyping, founding a startup, angel investing — to use at Wave Function. “I can really leverage that to help all my founders get through those early stages when things are like the most uncertain, and then help them build their companies,” he said. Gull also believes deep tech is going to be a place for big returns in the next 10 to 20 years. Startups in this space may require more capital up front, he said, but they can leverage non-venture funding (like government contracts or asset-backed lending) to scale and establish a more solid moat than software companies. Getting to those big returns will take time and Gull is fine with that. While he began his career as an eager builder, he also knows the value of patience. When he was at Scaled Composites 15 years ago, one of the projects he worked on was Stratolaunch, the largest plane in the world at the time. It was such an enormously complex aircraft that it remained in development long after Gull moved to SpaceX and beyond. It wasn’t until 2019 when Gull and his Talyn co-founder Evan Mucasey were planning to head to a “fly-in” (think: car show but for cool planes) at the Mojave airport that he got a hint he might see the giant airplane fly. “I called a friend and said, ‘what time should we be there for the airplane show?’ And he said, ‘6 a.m.’ I was like, that makes no sense,” Gull said. He didn’t know what his friend was hinting at, but he believed it would be worth the early flight. Sure enough, as Gull and Mucasey approached the airport, there was Stratolaunch, parked on the runway and prepped for flight. They landed and, per Gull’s recollection, Stratolaunch took off 15 minutes later. “I think it was almost exactly 10 years after I had worked on it on a computer screen,” Gull said. “It was wild.” Topics © 2025 TechCrunch Media LLC.","Evan Mucasey, Persona AI, Talyn Air, SpaceX, Jamie Gull, K2 Space, Wave Function, Talyn, Mucasey, Mojave, Gull","Leitmotif, Stanford University, Wave Function Ventures, Falcon, the Volkswagen Group, TechCrunch, Boom Supersonic, Wave Function, YC’s Pioneer Fund, Airship Industries, Stratolaunch","$15.1 m, $300 m",,AI
A new search engine raises $1.1M to let obsessive fans dive down internet rabbit holes,https://techcrunch.com/2025/10/03/a-new-search-engine-raises-1-1m-to-let-obsessive-fans-dive-down-internet-rabbit-holes/,Dominic-Madori Davis,2025-10-03T06:00:00-07:00,"Zehra Naqvi, 26, grew up as an obsessive fan girl in the 2010s. This was the era of Tumblr and Twitter. She would stay up all night breaking down the release dates of Marvel movies or analyzing the movements of One Direction members. She eventually gained a collective 250,000 followers across the two platforms. “Those early internet rabbit holes taught me how magical it felt to not just consume culture but to contribute to it,” she told TechCrunch. She went on to start a company at 12, study art history at Columbia, and then became a consumer investor at Headline Ventures. (She also writes the popular consumer newsletter The Z List. ) Now, she’s starting something new: Lore , a search platform for people to research and discover internet obsessions. The company has already raised $1.1 million in pre-seed funding. It is set to emerge from stealth on October 6. It was a few months ago that she quit her job at Headline and decided to go back to the beginning. She recalled those early days of spiraling down internet rabbit holes and became dismayed when she realized that all that research she spent hours in the pleasure pursuit of was gone. “How is it possible that I’ve spent probably well over 500 hours reading about Marvel movies over 17 years and no single platform tracks my consumption,” she said. Lore provides the tools she wished “had existed when fandom felt like home before the internet became fractured and joyless,” she said. It lets consumers go down rabbit holes, providing links to fan theories, interpretations, cultural context, and easter eggs. According to Naqvi, it builds a personalized graph of obsessions; surfaces fandom and stan updates in a feed; and gives monthly reports to users about what their obsessions are at any given time. “You can zoom in on a single theory or zoom out and see how all your fandoms connect,” Naqvi said. “It’s like playing with knowledge instead of just consuming it.” Naqvi is mum for now on how the product works. She also declined to share any imagery, saying that Lore’s official hard launch isn’t until next year. “It’s our special sauce,” she said of the technology powering the product. She did say, however, that rapid fandom consumption hasn’t really changed online, even though new social media channels have popped up for users to interact. “If anything, fandom is more fragmented than ever, and as you get older, joy spiraling becomes harder to find time for,” she said. As an investor, she began to realize that perhaps there didn’t need to be any more social tools for fans. “There are plenty of places to yap,” she said, adding that so much of social media these days aims for quick dopamine hits, doomscrolling, or feeds into “iPad kid behavior.” The next version of social media will be quieter, she said, more human, and built around passion and memory. “Lore is our attempt to rebuild the Library of Alexandria for the fandom age.” Naqvi is a solo founder and has already made her first two hires: a marketing executive and an engineer. She described her fundraising process as “obsessive.” Village Global led the round with participation from Precursor Ventures. “Lore is building the product fandoms have been waiting for,” Charles Hudson, managing partner at Precursor Ventures, told TechCrunch. “We envision it as the essential app for fandoms to gather, share, and deepen their engagement with the things they love.” Naqvi said the fresh capital will be used to attract more users and continue running product testing. “We wrapped up an experiment with over 1,000 logins, nearly 24,000 searches, and a collective eight days, or about 200 hours straight of spiraling deep into obsessions,” she said. “That level of engagement is kind of insane and proves the need for what we are building.” Lore is not without competition. In the age of AI search engines, she said, people have drawn comparisons to Perplexity, while others note it provides the same function as Reddit or Wikipedia. “But none of these spaces were built with fandom in mind,” she said. “We are building a lurker-first space,” she continued, describing Lore as “interactive, colorful, and designed for play. She hopes Lore will restore some joy to the internet and create a place where obsession is not embarrassing, but sacred. “Consumer AI doesn’t always have to be an agent that helps you shop or a glorified assistant or another social app,” she said. “There are so many more inventive and joy-first ways to apply it, and Lore is proving that.” Topics © 2025 TechCrunch Media LLC.","Twitter, stan, Charles Hudson, Alexandria, Naqvi, Lore, Zehra Naqvi","Wikipedia, Perplexity, Headline Ventures, Tumblr, Marvel, Precursor Ventures, iPad, TechCrunch, Columbia",$1.1 m,,AI
